"pmid","decision","layer","reason","citation_chase","language_exclude"
"40914181","exclude","none","narrative review enteric fever no primary data","no","no"
"30030897","exclude","none","pathogenesis and virulence review","no","no"
"25208300","exclude","none","pathogenesis review","no","no"
"32050286","exclude","none","German language review","no","yes"
"11075647","exclude","none","clinical profile culture-confirmed cases; no denominator","no","no"
"33550411","exclude","none","clinical seminar narrative review","no","no"
"30845336","exclude","none","systematic review incidence; chase citations","yes","no"
"31939387","exclude","none","typhoid control review India","no","no"
"17321180","exclude","none","special population pregnancy; culture-confirmed only","no","no"
"35984009","exclude","none","typhoid control review","no","no"
"25912287","exclude","none","surveillance review; no primary data","no","no"
"32725232","include","L3","endemic typhoid surveillance; culture-confirmed incidence","no","no"
"37549903","include","L3","blood culture positivity 3.2%; surveillance","no","no"
"40782891","exclude","none","systematic review HIV typhoid; chase citations","yes","no"
"35131783","exclude","none","single case report coinfection","no","no"
"40362220","exclude","none","pathogenicity and vaccination review","no","no"
"41783637","maybe","L3","culture-positive enteric fever trend; surveillance","no","no"
"27140662","exclude","none","vaccine prevention review","no","no"
"27392073","exclude","none","case report and literature review","no","no"
"37403670","exclude","none","serosurveillance antigen discovery; no positivity","no","no"
"31665777","exclude","none","systematic review Africa occurrence; chase citations","yes","no"
"37482208","exclude","none","biosensor lab detection; no clinical","no","no"
"25912288","exclude","none","AMR management review","no","no"
"32725228","exclude","none","environmental surveillance methods review","no","no"
"24916864","exclude","none","commentary on Widal misuse; no data","no","no"
"40823833","exclude","none","environmental phage detection; not human","no","no"
"36538895","exclude","none","systematic review EMR; chase citations","yes","no"
"32462008","exclude","none","XDR typhoid review","no","no"
"27188991","exclude","none","systematic review blood culture sensitivity; chase citations","yes","no"
"32155148","maybe","L3","national typhoid surveillance; culture-confirmed cases","no","no"
"38185957","exclude","none","AMR gene detection isolates; molecular","no","no"
"37725060","exclude","none","challenge transcriptomics; no diagnostic data","no","no"
"34766200","exclude","none","imported paediatric case series; no denominator","no","no"
"26933014","exclude","none","introductory commentary surveillance program","no","no"
"32569838","exclude","none","clinical comparison culture-confirmed; no denominator","no","no"
"35238358","include","multiple","blood culture positivity predictors; suspected and confirmed counts","no","no"
"31067228","exclude","none","systematic review diagnostic accuracy; chase citations","yes","no"
"36945161","include","L3","blood culture positive 25% of suspected","no","no"
"32725227","exclude","none","review environmental surveillance; no human positivity","no","no"
"38957275","exclude","none","culture-confirmed trend and antibiotic sensitivity","no","no"
"31603009","exclude","none","case report XDR enteric fever","no","no"
"34463736","maybe","L3","culture-confirmed cohort; incidence estimates","no","no"
"34453548","exclude","none","genomic genotyping framework; no diagnostic data","no","no"
"33639667","exclude","none","carrier antibodies gallbladder cancer; special population","no","no"
"38661078","include","L3","blood culture positive 37 of 98 suspected","no","no"
"15976828","exclude","none","Norwegian language; imported paediatric series","no","yes"
"39632634","exclude","none","vaccine development review; no diagnostic data","no","no"
"39052692","include","L3","16.6% of clinically-diagnosed confirmed by culture","no","no"
"37339282","exclude","none","genomic cluster surveillance; no positivity","no","no"
"35238355","exclude","none","case-control risk factors transmission; WASH","no","no"
"35092688","include","L1","paired blood and bone marrow culture yield","no","no"
"29373578","exclude","none","metabolite biomarkers chronic carriage; carriers","no","no"
"22892604","exclude","none","CT imaging features; small series","no","no"
"38497655","exclude","none","macrophage persistence pathogenesis; molecular","no","no"
"30060168","include","L3","2% blood culture positivity in surveillance","no","no"
"17978448","include","multiple","blood culture positive 27% of suspected; PCR","no","no"
"38945034","exclude","none","non-travel case source investigation; carriers","no","no"
"35867662","exclude","none","multiplex PCR lineage assay; molecular","no","no"
"26822522","exclude","none","systematic review surveillance incidence; chase citations","yes","no"
"30845337","include","L3","S Typhi 1.4% of suspected bloodstream infections","no","no"
"33258942","include","L3","enteric fever hospitalization incidence; fever case definition","no","no"
"36748526","exclude","none","genomic characterization outbreak isolates; molecular","no","no"
"19962402","exclude","none","imported culture-confirmed case series; travellers","no","no"
"30304448","exclude","none","case-fatality ratio; culture-confirmed only","no","no"
"32725221","exclude","none","review of major enteric fever surveillance studies","no","no"
"37939101","exclude","none","paratyphoid AMR trends; culture-confirmed only","no","no"
"37340341","maybe","L3","outbreak shedding serosurvey; attack rate one-in-four","no","no"
"41418113","exclude","none","AMR profile culture-positive; no denominator","no","no"
"32725222","exclude","none","conference report review; no data","no","no"
"629635","exclude","none","coagulation and bacteremia pathophysiology; culture-positive","no","no"
"38329937","exclude","none","environmental phage water surveillance; not human","no","no"
"34605467","include","multiple","blood culture positive 8% of 200 suspected; PCR","no","no"
"41771915","exclude","none","PCR gene marker development; molecular","no","no"
"38710290","exclude","none","molecular AMR analysis; AMR-mechanism focus","no","no"
"39557915","exclude","none","DNA aptamer development; lab molecular","no","no"
"37775091","exclude","none","environmental surveillance typhoid; not clinical positivity","no","no"
"33258934","exclude","none","SEAP AMR among confirmed cases; no positivity","no","no"
"22551639","include","L3","S Typhi 2.4% of 3820 suspected; Widal","no","no"
"39331692","exclude","none","environmental river wastewater surveillance; not clinical","no","no"
"29983442","exclude","none","antibiotic sensitivity trend; culture-positive only","no","no"
"37138513","maybe","L3","rapid immunoassay vs culture; small febrile sample","no","no"
"32658209","exclude","none","historical biography discovery; no data","no","no"
"6786534","exclude","none","serological CIE test accuracy; out of scope","no","no"
"30277511","include","L3","2.8% blood culture positive; suspected and confirmed counts","no","no"
"38196224","include","L3","culture positivity rate 2.8%; surveillance burden","no","no"
"24987946","exclude","none","resistance patterns; culture-positive children only","no","no"
"39538401","exclude","none","single case report imaging","no","no"
"12022423","exclude","none","complications culture-confirmed; no denominator","no","no"
"38123455","exclude","none","chronic carrier detection; special population","no","no"
"27329848","exclude","none","MDR outbreak molecular; no positivity data","no","no"
"31612938","exclude","none","narrative review burden and control","no","no"
"10773905","exclude","none","RPHA antigen test accuracy; out of scope","no","no"
