pmid,decision,layer,reason,citation_chase,language_exclude
16119438,maybe,L3,outbreak with clinically identified cases; vaccine efficacy,no,no
14186496,exclude,none,non-eligible language,no,yes
40083303,exclude,none,mathematical transmission model; no diagnostic content,no,no
3426875,exclude,none,vaccine strain development; no diagnostic content,no,no
23166855,exclude,none,AMR surveillance of isolates; not diagnostic accuracy,no,no
7496957,exclude,none,monoclonal antibody lab study; not diagnostic,no,no
8432324,maybe,L3,national surveillance case counts; no confirm split stated,no,no
24859062,exclude,none,gene pseudogene study; molecular pathogenesis,no,no
3701119,exclude,none,vaccine immunology; antibody-secreting cells,no,no
4486193,exclude,none,antimicrobial sensitivity testing; not diagnostic,no,no
10217089,exclude,none,AMR letter; no diagnostic content,no,no
380479,exclude,none,non-eligible language,no,yes
4793811,maybe,L3,community outbreak; water transmission; likely case counts,no,no
11372030,maybe,L3,outbreak vaccine effectiveness; case ascertainment unclear,no,no
15380025,exclude,none,case series on treatment response; no denominator,no,no
5010850,exclude,none,case report; hospital infection,no,no
10697239,exclude,none,case report; no denominator,no,no
19944325,exclude,none,case report; no denominator,no,no
20258514,exclude,none,Salmonella Typhimurium outbreak; not typhoid,no,no
18436352,exclude,none,Lactococcus lactis immunology; not diagnostic,no,no
16412683,exclude,none,ancient DNA paleopathology study; not clinical,no,no
15609776,exclude,none,vaccine program policy overview; no diagnostic data,no,no
8586741,exclude,none,PCR molecular detection method; not diagnostic,no,no
24506729,exclude,none,non-eligible language,no,yes
7873171,exclude,none,PCR immunoassay method; not diagnostic,no,no
4279673,maybe,L3,community outbreak; water transmission; likely case counts,no,no
7152560,exclude,none,serologic technique development; no culture comparison,no,no
7590891,exclude,none,vaccine immunology; B cell markers,no,no
5527122,exclude,none,basic microbiology; UV sensitivity study,no,no
29059070,exclude,none,narrative review on antimicrobial resistance,no,no
5010420,exclude,none,non-eligible language,no,yes
3437833,exclude,none,non-eligible language,no,yes
8576386,exclude,none,PCR method article; erratum; not diagnostic,no,no
8631721,exclude,none,molecular genetics regulation study,no,no
7789812,exclude,none,outer membrane protein gene characterization,no,no
14193155,exclude,none,mouse immunology study; not diagnostic,no,no
2441039,exclude,none,antigen detection technique; not culture-based,no,no
13479895,exclude,none,non-eligible language,no,yes
20268380,exclude,none,basic microbiology; antiserum preparation,no,no
1692813,exclude,none,vaccine immunology; ASC response,no,no
21860101,exclude,none,narrative review on antimicrobial resistance,no,no
4625388,exclude,none,basic antigen structure study; not diagnostic,no,no
23664993,exclude,none,vaccine acceptability survey; not diagnostic,no,no
3571457,exclude,none,monoclonal antibody reagent specificity testing,no,no
725392,exclude,none,antimicrobial susceptibility testing of strains,no,no
18891259,exclude,none,non-eligible language,no,yes
9255887,exclude,none,AMR and plasmid profiling of outbreak isolates,no,no
3406998,maybe,L2,Widal test false negative and positive rates,no,no
1513268,exclude,none,molecular typing genomics study; not diagnostic,no,no
11574576,maybe,L1,rapid blood culture identification; 391 typhoid cases,no,no
20238834,exclude,none,serologic agglutination technique study,no,no
6363617,exclude,none,phage transduction genetics; not diagnostic,no,no
13309242,exclude,none,Salmonella Typhimurium food poisoning; not typhoid,no,no
13648757,exclude,none,non-eligible language,no,yes
456815,exclude,none,serologic technique development; no validation,no,no
18687156,exclude,none,AMR molecular mechanism study,no,no
3143764,exclude,none,lab assay method development; no clinical data,no,no
5327907,exclude,none,phage and plasmid genetics study; not diagnostic,no,no
32826034,exclude,none,historical commentary; not primary data,no,no
59698,exclude,none,basic antigen structure study; not diagnostic,no,no
14215893,exclude,none,chronic carrier detection; special population excluded,no,no
39306340,exclude,none,case report; no denominator,no,no
2437220,exclude,none,vaccine efficacy against shigellosis; not typhoid diagnosis,no,no
10599198,exclude,none,treatment efficacy trial; no diagnostic accuracy data,no,no
1211907,exclude,none,non-eligible language,no,yes
7049953,exclude,none,animal immunology study; not diagnostic,no,no
262972,exclude,none,environmental water detection method; not clinical,no,no
17976161,exclude,none,flagellar phase variation genetics; not diagnostic,no,no
1752306,exclude,none,molecular fingerprinting of outbreak strains,no,no
4970219,exclude,none,basic microbiology; antibiotic sensitivity,no,no
16441985,exclude,none,AMR screening test validity; not disease diagnosis,no,no
12035350,exclude,none,AMR screening test; not disease diagnostic accuracy,no,no
34034211,exclude,none,biosensor assay development; not clinical validation,no,no
31872221,exclude,none,genomic AMR lineage study; not diagnostic,no,no
21027321,exclude,none,Salmonella Typhimurium food poisoning; not typhoid,no,no
33112899,exclude,none,time series incidence modeling; no diagnostic content,no,no
13018693,exclude,none,virulence testing study; not diagnostic accuracy,no,no
26142675,exclude,none,animal vaccine immunology study; not diagnostic,no,no
3923111,exclude,none,mouse immunology and genetics study; not diagnostic,no,no
32544422,exclude,none,antibacterial chemistry study; not diagnostic,no,no
11227125,exclude,none,case report; no denominator,no,no
9561749,exclude,none,molecular pathogenesis study; not diagnostic,no,no
2562234,exclude,none,protein purification method; not diagnostic,no,no
40200624,exclude,none,case report; no denominator,no,no
6080970,exclude,none,non-eligible language,no,yes
15750084,exclude,none,travel-related PFGE typing; special population,no,no
2990125,exclude,none,non-eligible language,no,yes
13648747,exclude,none,non-eligible language,no,yes
14583638,exclude,none,in vitro antibiotic synergy study; not diagnostic,no,no
26621865,exclude,none,case report; no denominator,no,no
2989097,exclude,none,restriction enzyme purification study,no,no
2940330,exclude,none,phage genetics study; not diagnostic,no,no
26558515,exclude,none,carbohydrate chemistry vaccine synthesis study,no,no
13994748,exclude,none,animal vaccine protection study; not diagnostic,no,no
16148184,exclude,none,vaccine immunogenicity assay comparison; not diagnosis,no,no
13212035,exclude,none,Salmonella Typhimurium food poisoning; not typhoid,no,no
9803814,maybe,L1,retrospective cohort; culture yield 85 percent reported,no,no
16645427,exclude,none,animal treatment toxicity study; not diagnostic,no,no
8246829,exclude,none,in vitro immunology study; not diagnostic,no,no
2744788,exclude,none,monoclonal antibody characterization; not diagnostic,no,no
4884202,exclude,none,pathogenesis immunology study; not diagnostic,no,no
1106092,exclude,none,non-eligible language (russian),no,yes
10405180,exclude,none,protein crystallization study; not diagnostic,no,no
8335263,exclude,none,restriction enzyme characterization; molecular biology,no,no
