"pmid","decision","layer","reason","citation_chase","language_exclude"
"27812090","maybe","L2","persistent fever study; predictive value clinical features for enteric fever","no","no"
"7783691","exclude","none","murine typhoid complement study; not human","no","no"
"8601544","exclude","none","transplant bacterial complications review; no typhoid diagnostic content","no","no"
"37417121","exclude","none","epidemic retinitis pregnancy; typhoid incidental not diagnostic","no","no"
"34025627","exclude","none","Typhi OMV polymyxin resistance mechanism","no","no"
"28337196","exclude","none","Typhi porins vaccine adjuvant immunology","no","no"
"25882489","exclude","none","Salmonella endocarditis case review; no typhoid positivity","no","no"
"41657875","exclude","none","food hygiene knowledge survey; no diagnostic content","no","no"
"14667084","exclude","none","quinolone resistance poultry Salmonella; animal AMR","no","no"
"38104674","exclude","none","cyanobacteria antimicrobial wheat; not human typhoid","no","no"
"30687242","exclude","none","Salmonella virulence genomics phenotype prediction","no","no"
"42187299","exclude","none","chromene compound antimicrobial MIC; chemistry","no","no"
"38470177","exclude","none","Plantago extract antibacterial; botany","no","no"
"18219268","exclude","none","nontyphoidal Salmonella turtle outbreak; not enteric fever","no","no"
"17467385","exclude","none","childcare surface microbiology; environmental not clinical","no","no"
"7092172","exclude","none","chick spleen immune response; animal","no","no"
"34585165","exclude","none","mouse colon macrophage immunostaining; animal molecular","no","no"
"19472689","exclude","none","Sheila Sherlock biography; typhoid historical mention","no","no"
"7696445","exclude","none","gastric acid inhibition infection review; not typhoid diagnostic","no","no"
"26361076","maybe","L2","clinical predictors NTS versus typhoidal bacteremia","no","no"
"21330744","exclude","none","cholera-like Salmonella case report; nontyphoid","no","no"
"15173372","exclude","none","community trial informed consent; ethics not diagnostic","no","no"
"3895358","exclude","none","enteric epidemiology history; no diagnostic content","no","no"
"13491764","exclude","none","fever pathogenesis pyrogen study; physiology","no","no"
"29852003","maybe","L3","acute undifferentiated fever etiology; enteric fever bloodstream","no","no"
"22190395","exclude","none","Paratyphi A outbreak strain molecular immune characterization","no","no"
"33639265","exclude","none","travellers Nepal GeoSentinel; special population","no","no"
"18504062","exclude","none","chromanone synthesis antibacterial; chemistry","no","no"
"32898642","exclude","none","G-quadruplex Salmonella drug target; molecular","no","no"
"30550666","exclude","none","Japanese language traveler management review","no","yes"
"21302477","exclude","none","Hebrew language returned traveler fever review","no","yes"
"21489376","exclude","none","tularaemia outbreak Norway; not typhoid","no","no"
"11624461","exclude","none","Korean language historical epidemics article","no","yes"
"7618105","exclude","none","bacterial virulence gene identification; murine molecular","no","no"
"18766933","exclude","none","chicken malaria biliverdin; animal fowl typhoid mention","no","no"
"19869578","exclude","none","Salmonella precipitable substances immunochemistry","no","no"
"35858510","exclude","none","polysaccharide nitrogen phosphorus assay; vaccine QC","no","no"
"33448254","exclude","none","COVID superspreader case report; Typhoid Mary mention","no","no"
"22016946","exclude","none","Chinese herbal injection allergen assay","no","no"
"16416379","exclude","none","German language travel vaccine review","no","yes"
"11125497","exclude","none","acute abdomen Ethiopia; typhoid perforation surgical","no","no"
"7610000","exclude","none","Russian language irradiated mice study","no","yes"
"1620974","exclude","none","poultry Salmonella ELISA; veterinary","no","no"
"38247582","exclude","none","fowl typhoid poultry review; veterinary","no","no"
"4926536","exclude","none","mouse endotoxin temperature bioassay; animal","no","no"
"9698714","exclude","none","pediatric isolation admissions trends; typhoid minor mention","no","no"
"32224900","exclude","none","farm animal AMR Brazil review; veterinary","no","no"
"7701141","exclude","none","Mexico diarrhea epidemiology review; no typhoid diagnostics","no","no"
"37367160","exclude","none","sol-gel anticorrosion antimicrobial coating; chemistry","no","no"
"42057701","exclude","none","foodborne burden review; mostly nontyphoidal Salmonella","no","no"
"38385502","exclude","none","pandemic infectious disease surveillance; nontyphoid Salmonella","no","no"
"29198370","exclude","none","Weltevreden whole genome sequencing; nontyphoid genomics","no","no"
"20177467","exclude","none","triazine synthesis antibacterial; chemistry","no","no"
"42174003","exclude","none","institutional water quality microbiology; environmental","no","no"
"33592318","exclude","none","nontyphoidal Salmonella environmental genomics","no","no"
"8631681","exclude","none","flgM mutant Typhimurium virulence; molecular murine","no","no"
"33101240","exclude","none","febrile patients AMR Africa; nontyphoid Salmonella","no","no"
"28931134","exclude","none","imported infection risk behaviors Australia; travelers","no","no"
"32497076","exclude","none","triazole Schiff base synthesis antibacterial; chemistry","no","no"
"23020815","exclude","none","silver nanoparticle antibacterial; chemistry","no","no"
"21890359","exclude","none","pyran derivative antimicrobial synthesis; chemistry","no","no"
"21699463","exclude","none","copper chromone complex antibacterial; chemistry","no","no"
"21215620","exclude","none","coumarin triazole antimicrobial; chemistry","no","no"
"19325527","exclude","none","Dodonaea plant antibacterial; botany","no","no"
"9516887","exclude","none","ciprofloxacin resistance Enterobacteriaceae; AMR surveillance","no","no"
"7540016","exclude","none","bivalent live attenuated vaccine construction; molecular","no","no"
"705838","exclude","none","pediatric infection spectrum sensitivity; no typhoid positivity","no","no"
"32254040","exclude","none","nontyphoidal Salmonella hip arthritis case report","no","no"
"1092770","exclude","none","murine salmonellosis respiratory tract; animal","no","no"
"39343314","exclude","none","systemic immunity Salmonella review; mouse models","no","no"
"22368751","exclude","none","cardiology course proceedings; enteric fever mention","no","no"
"3102387","exclude","none","ofloxacin enteric infection treatment; no diagnostic counts","no","no"
"25297022","maybe","L3","FUO cohort tested typhoid; scrub typhus focus","no","no"
"4908551","exclude","none","E coli gastroenteritis outbreak; not typhoid","no","no"
"6036088","exclude","none","Falasha medical work; no abstract not diagnostic","no","no"
"39203510","exclude","none","Salmonella Mbandaka pathogenicity AMR genomics","no","no"
"24975814","exclude","none","broiler colonisation-inhibition Salmonella; veterinary","no","no"
"21316302","exclude","none","lake sediment bacterial survival; environmental","no","no"
"1096588","exclude","none","gut microbes sugar absorption rats; animal","no","no"
"31350992","exclude","none","Gallinarum AMR chickens Korea; veterinary","no","no"
"32288324","exclude","none","Gulf States foodborne disease review; no typhoid diagnostics","no","no"
"21513544","exclude","none","plant extract larvicidal antimicrobial; botany","no","no"
"25147664","exclude","none","Cassia fistula antibacterial extract; botany","no","no"
"21717146","exclude","none","Entamoeba diagnostics travelers; not typhoid","no","no"
"10992706","exclude","none","cefpirome in-vitro susceptibility; AMR laboratory","no","no"
"32793135","exclude","none","post-typhoid CNS probiotic mouse study; animal","no","no"
"25475706","exclude","none","chicken caecum gene expression; veterinary molecular","no","no"
"9286061","exclude","none","mycoplasma animal models review; not typhoid diagnostic","no","no"
"40127991","exclude","none","PhoPQ regulatory system evolution; molecular","no","no"
"32791534","maybe","L3","sepsis pathogen study; Salmonella Typhi frequent isolate","no","no"
"29290845","exclude","none","DNA microarray pathogen detection design; laboratory method","no","no"
"15795363","exclude","none","CRP endothelial function; typhoid vaccine model","no","no"
"18697725","exclude","none","polyenzyme antibacterial in vitro; laboratory","no","no"
"33582683","exclude","none","chicken liver MDR Salmonella; food veterinary","no","no"
"28137507","exclude","none","Edwardsiella DNA vaccine flounder; fish","no","no"
"32062906","exclude","none","China infectious disease control history; policy review","no","no"
"30285855","exclude","none","Gallinarum bivalent poultry vaccine; veterinary","no","no"
"27756305","exclude","none","BcsZ biofilm virulence murine; molecular","no","no"
"22419838","exclude","none","enolase inhibitor docking typhoid; in silico","no","no"
"17060870","exclude","none","acute liver failure differential; typhoid minor mention","no","no"
"11566655","exclude","none","prenatal undernutrition vaccine antibody; typhoid immune marker","no","no"
"27412737","exclude","none","nontyphoidal Salmonella diarrhea children China","no","no"
"27188369","maybe","L3","Paratyphi A blood cultures; drug resistance typing","no","no"
"37419218","exclude","none","Gallinarum avian transcriptomes; veterinary molecular","no","no"
"21139855","exclude","none","waterborne bacterial pathogens review; environmental","no","no"
"29632710","exclude","none","Typhi-vectored cancer vaccine trial; immunogenicity","no","no"
"39952572","exclude","none","Gallinarum LPS vaccine chickens; veterinary","no","no"
"30208963","exclude","none","Gallinarum bronchitis bivalent vaccine chickens; veterinary","no","no"
"19718951","exclude","none","chicken Salmonella resistance genetics; veterinary","no","no"
"15276996","exclude","none","Gallinarum gyrA fluoroquinolone resistance; veterinary","no","no"
"31914937","exclude","none","brucellosis case series China; typhoid differential mention","no","no"
"29928056","exclude","none","climate infectious disease correlation Bangladesh; ecological","no","no"
"21522065","exclude","none","conjugate vaccine use review; no positivity","no","no"
"35007283","maybe","L3","febrile illness cohort Guinea; typhoid diagnosis proportion","no","no"
"39862427","maybe","L3","neonatal sepsis pathogens; Salmonella Typhi rare isolate","no","no"
"23009991","exclude","none","Coccinia plant antimicrobial; botany","no","no"
"9782782","exclude","none","mycobacterial protein immunoprotection mice; not typhoid","no","no"
"29022005","exclude","none","Ty21a vaccine mucosal immunity; immunogenicity no positivity","no","no"
"33146395","exclude","none","systematic review fever aetiology travellers; chase citations","yes","no"
"41994157","exclude","none","visceral leishmaniasis case; enteric fever excluded","no","no"
"41232115","exclude","none","neonatal tropical infection case series; no typhoid confirmed","no","no"
"30819985","exclude","none","adolescent immunization schedule; typhoid vaccine policy","no","no"
"23188875","exclude","none","Salmonella enteritidis myocarditis case; nontyphoid","no","no"
"7200188","maybe","L2","typhoid fever 124 cases Ouagadougou; clinical series","no","no"
"1008114","exclude","none","antibiotic mortality trends Sweden Finland; historical","no","no"
"37875791","exclude","none","intestinal infection ecological risk factors; spatiotemporal","no","no"
"21560415","exclude","none","Japanese language imported disease review","no","yes"
"1875582","exclude","none","Japanese language inoculated tuberculosis case","no","yes"
"6996893","exclude","none","Salmonella meningitis case reports; no denominator","no","no"
"7405299","exclude","none","German language internal medicine bacterial diseases","no","yes"
