pmid,decision,layer,reason,citation_chase,language_exclude
41031284,exclude,none,case report tetanus/malaria; enteric fever incidental,no,no
15347857,exclude,none,disease surveillance model; no culture positivity,no,no
25712333,exclude,none,vaccination economic evaluation only,no,no
14413831,exclude,none,endotoxin immunology mechanism,no,no
39257343,exclude,none,fowl typhoid genomics; not human,no,no
11827308,exclude,none,antibiotic sensitivity/clinical; no positivity denominator,no,no
13654232,exclude,none,typhoid carrier detection serology,no,no
20987059,exclude,none,bacteriophage therapy,no,no
19745527,exclude,none,Widal test accuracy; out of scope,no,no
39850984,exclude,none,fowl typhoid genomics; not human,no,no
20851081,exclude,none,returned-traveller special population surveillance,no,no
19156192,exclude,none,dengue diagnostic; typhoid only cross-reactivity control,no,no
29509943,exclude,none,leucocyte VCS parameter accuracy; out of scope,no,no
14225822,exclude,none,non-eligible language,no,yes
18877654,maybe,L3,typhoid outbreak from carrier,no,no
37418452,exclude,none,murine typhus focus; typhoid presumptive only,no,no
7163840,exclude,none,refugee diarrhoea; no typhoid detected,no,no
30081708,exclude,none,invasive non-typhoidal Salmonella review,no,no
17883470,exclude,none,scrub typhus review; typhoid differential,no,no
14836908,exclude,none,typhoid carrier detection serology,no,no
34584984,exclude,none,pancreatitis Salmonella typhi case report,no,no
14083463,maybe,L3,typhoid outbreak investigation,no,no
13830387,exclude,none,non-eligible language,no,yes
13394768,maybe,L3,typhoid outbreak report,no,no
18012630,exclude,none,typhoid bacilli survival in cheese,no,no
13859149,exclude,none,non-eligible language,no,yes
21018953,maybe,L3,typhoid outbreak traced to pastries,no,no
33889492,exclude,none,non-typhoidal Salmonella empyema case report,no,no
32380974,exclude,none,tularaemia case report; not typhoid,no,no
25518448,exclude,none,fowl typhoid quail; not human,no,no
13333126,maybe,L3,typhoid outbreak canned ox-tongue,no,no
14353336,maybe,L3,typhoid outbreak in college,no,no
18100528,exclude,none,non-eligible language,no,yes
21024102,maybe,L3,typhoid outbreak Trenton,no,no
13753057,exclude,none,non-eligible language,no,yes
13814766,exclude,none,non-eligible language,no,yes
20990559,maybe,L3,typhoid outbreak wedding breakfast,no,no
26663793,exclude,none,pediatric ulcerative colitis stool yield; non-typhoidal,no,no
16599036,exclude,none,visceral leishmaniasis; typhoid differential,no,no
5827103,maybe,L3,large typhoid outbreak investigation/control,no,no
20996514,maybe,L3,typhoid outbreak Trenton,no,no
17080703,exclude,none,communicable disease surveillance; no typhoid positivity,no,no
26826836,exclude,none,ceftriaxone sensitivity of isolates only,no,no
33726955,exclude,none,typhoid vaccine history article,no,no
13593303,maybe,L3,typhoid outbreak St Lucia,no,no
13570362,exclude,none,non-eligible language,no,yes
