"pmid","decision","layer","reason","citation_chase","language_exclude"
"27281311","exclude","none","risk-factor case-control study; WASH focus","no","no"
"22493333","include","L1","blood culture sensitivity 31.8 percent in suspected","no","no"
"12613741","exclude","none","review of US typhoid outbreaks catalogue","yes","no"
"1504203","exclude","none","incidence description; no positivity or accuracy","no","no"
"25391546","exclude","none","SPR DNA biosensor lab development","no","no"
"26810369","exclude","none","Ty21a vaccine mucosal immunology","no","no"
"17642505","exclude","none","phage typing biotyping AMR; no positivity","no","no"
"1696342","exclude","none","vaccine strain O-antigen molecular study","no","no"
"9114207","maybe","L3","prolonged typhoid outbreak investigation Terrassa","no","no"
"16766005","exclude","none","clinical features of culture-proven cases; no accuracy","no","no"
"30018230","exclude","none","glycoconjugate vaccine immunogenicity in rabbits","no","no"
"9018985","exclude","none","MDR prevalence among isolates; AMR only","no","no"
"17555887","exclude","none","case report breast abscess; no denominator","no","no"
"9544606","exclude","none","sonographic gallbladder findings; culture-positive series","no","no"
"28938049","exclude","none","molecular AMR gyrB detection; no accuracy","no","no"
"15651116","include","L3","culture and Widal in febrile patients; positivity","no","no"
"9817514","exclude","none","ciprofloxacin treatment case series; confirmed cases","no","no"
"26974227","exclude","none","fluoroquinolone resistance genomics treatment failure","no","no"
"41335321","exclude","none","narrative review chronic carriers MDR","no","no"
"8216561","exclude","none","flagellin gene cloning; molecular","no","no"
"19745523","exclude","none","narrative epidemiology review India","no","no"
"1730477","exclude","none","vaccine immune response study","no","no"
"30443257","exclude","none","in vitro mucosa vaccine strain; pathogenesis","no","no"
"27217537","exclude","none","host metabolism pathogenesis challenge study","no","no"
"12441674","exclude","none","Vi vaccine efficacy in mice","no","no"
"42340962","exclude","none","mathematical transmission model; no diagnostic","no","no"
"30528158","exclude","none","LAMP molecular diagnostic vs culture; case-control","no","no"
"15030094","exclude","none","Widal baseline titre and accuracy; serology","no","no"
"30344254","exclude","none","narrative review typhoid diagnostics","no","no"
"30845324","exclude","none","vaccine AMR impact model; no diagnostic","no","no"
"34001879","exclude","none","genomic AMR surveillance tool; no positivity","no","no"
"38917785","exclude","none","case report iliopsoas abscess","no","no"
"36253712","exclude","none","QRDR gene sequencing AMR; molecular","no","no"
"1962094","exclude","none","clinical features MDR vs susceptible; confirmed cases","no","no"
"30951606","exclude","none","Ty21a vaccine T-cell response","no","no"
"2446446","exclude","none","Russian language; antigen detection lab method","no","yes"
"9868065","exclude","none","clinical features typhoid patients; descriptive series","no","no"
"25917793","exclude","none","electrochemical DNA biosensor; lab development","no","no"
"18415871","exclude","none","case report panophthalmitis","no","no"
"41701741","exclude","none","wastewater environmental surveillance; not human","no","no"
"29121461","exclude","none","nanomagnetic antibody-detection assay; lab development","no","no"
"26449951","include","L3","blood culture surveillance DRC; Typhi positivity","no","no"
"11127268","exclude","none","Widal Vi serodiagnosis reliability; serology","no","no"
"33898333","exclude","none","shRNA macrophage screen; molecular pathogenesis","no","no"
"2583095","exclude","none","flagellin gene recombination; molecular","no","no"
"10947223","maybe","L3","typhoid outbreak case-control investigation French Riviera","no","no"
