pmid,decision,layer,reason,citation_chase,language_exclude
30173662,exclude,none,scoping review rapid diagnostics; enteric fever included,yes,no
12141581,exclude,none,historical biography health officer; no diagnostic data,no,no
39267116,exclude,none,global burden estimates; no positivity or diagnostic content,no,no
35769104,exclude,none,fowl typhoid poultry CRISPR study; not human,no,no
14439721,exclude,none,rat hypersensitivity; typhoid vaccine only as antigen,no,no
39398308,exclude,none,fowl typhoid broilers nanoparticles; not human,no,no
28553290,exclude,none,Vi IgG cutoffs for immunodeficiency; not diagnosis,no,no
35121180,exclude,none,poultry Salmonella OMV vaccine; not human,no,no
21306057,exclude,none,poultry litter Salmonella detection; not human,no,no
15061498,exclude,none,Salmonella Paratyphi B poultry pathogenesis; not human,no,no
38590670,exclude,none,Salmonella virulence gene detection; molecular not diagnostic,no,no
26072990,exclude,none,in-vitro essential oil antibacterial assay; test organism,no,no
29776750,exclude,none,typhoid conjugate vaccine immunogenicity; no positivity data,no,no
1092257,exclude,none,non-eligible language,no,yes
24215700,exclude,none,PCR array pathogen identification; molecular method development,no,no
120734,exclude,none,narrative diarrhoeal epidemiology review; no positivity counts,no,no
15109409,exclude,none,rickettsiosis serology febrile patients; typhoid only differential,no,no
452766,exclude,none,non-eligible language,no,yes
19868602,exclude,none,guinea pig antibody study; typhoid antigen only,no,no
8389160,exclude,none,biliary tract cancer review; typhoid mentioned only,no,no
33204691,exclude,none,fungal lipid production; typhi test organism only,no,no
22570555,exclude,none,AMR surveillance hospital isolates; typhi susceptibility only,no,no
11587567,exclude,none,bacterial hemoglobin biotechnology; typhi gene only,no,no
25553804,exclude,none,plant compound antimicrobial assay; test organism only,no,no
20606962,exclude,none,in-vitro drug antibacterial assay; test organism only,no,no
1987277,exclude,none,IL-1 expression in mice; typhi LPS only,no,no
6093673,exclude,none,imported disease surveillance overview; no positivity counts,no,no
23025798,exclude,none,antimicrobial polymer assay; test organism only,no,no
24302834,exclude,none,plant extract antibacterial assay; test organism only,no,no
6952128,exclude,none,acute diarrhoea aetiology; typhoid minor no accuracy,no,no
26932703,exclude,none,colon cancer case report; typhoid incidental,no,no
9850399,exclude,none,HIV seroconversion case series; typhoid only suspected,no,no
37792529,exclude,none,typhoid toxin molecular pathogenesis; no diagnostic content,no,no
21331943,exclude,none,pullorum fowl typhoid poultry review; not human,no,no
18605329,exclude,none,historical outbreak public health reform; no data,no,no
4884961,exclude,none,mouse typhoid antibody purification; molecular immunology,no,no
21349095,exclude,none,salmonellosis immunity review; no diagnostic content,no,no
39632644,exclude,none,adult vaccination rapid review; typhoid economics only,no,no
15701546,exclude,none,traveler disease prevention review; typhoid vaccine mention,no,no
15609775,maybe,L3,typhoid burden surveillance programme; positivity possibly full-text,no,no
32217683,exclude,none,XDR Typhi genome sequencing; pure genomics,no,no
11964872,exclude,none,leptospirosis review; typhoid vaccine mention only,no,no
41316035,maybe,L3,suspected enteric fever cohort; Salmonella isolation proportion reported,no,no
31397441,exclude,none,non-eligible language,no,yes
1774314,exclude,none,monoclonal serotyping reagents; lab reagent development,no,no
