pmid,decision,layer,reason,citation_chase,language_exclude
27222578,exclude,none,toxin biology pathogenesis; no diagnostic content,no,no
38865361,exclude,none,chronic gallbladder carriage; special population,no,no
23759232,include,L3,fever surveillance; blood-culture positivity rate reported,no,no
12138663,include,L3,hospital surveillance; clinical vs blood-culture positivity,no,no
41502203,exclude,none,narrative review diagnosis pitfalls; no primary data,no,no
27832592,exclude,none,typhoid toxin export biology; not diagnostic,no,no
29746945,exclude,none,coagulation pathophysiology study; no diagnostic positivity,no,no
34525285,include,L3,TCV trial; culture-confirmed case counts by arm,no,no
21555791,include,L3,azithromycin trial; culture positive among clinical typhoid,no,no
29746615,include,L3,blood-culture surveillance; typhoid case counts and incidence,no,no
12437043,include,L2,Typhidot PanBio vs Widal; sens spec vs culture,no,no
40553599,exclude,none,single case report; no denominator,no,no
21970286,exclude,none,two-case report; no denominator,no,no
18383953,exclude,none,confirmed-case series; AMR profile; no denominator,no,no
7948526,include,L2,dot EIA vs Widal; sens spec vs culture,no,no
14141043,exclude,none,non-eligible language,no,yes
21444993,exclude,none,antimicrobial susceptibility study; no diagnostic positivity,no,no
2010645,exclude,none,vaccine immunogenicity only; no positivity,no,no
6523171,include,L2,latex agglutination vs Widal; sens spec PPV,no,no
9866897,include,multiple,suspected enteric fever; culture positivity; antigen test accuracy,no,no
25937611,exclude,none,narrative review of diagnostics; no primary data,no,no
23077595,exclude,none,gallbladder Salmonella carriage; carrier special population,no,no
19397806,include,L3,typhoid outbreak; case definition; attack rate; culture,no,no
6373038,exclude,none,isolate characterization clinical features; no positivity denominator,no,no
25231649,include,multiple,Widal vs culture; PPV; positivity among febrile,no,no
2452530,exclude,none,non-eligible language,no,yes
23304434,maybe,L2,antigen microarray biomarkers; sens spec vs controls,no,no
29324231,exclude,none,toxin gene regulation; molecular biology; not diagnostic,no,no
40916430,exclude,none,ESBL resistance genes; AMR mechanism; not diagnostic,no,no
38630840,maybe,L3,febrile blood-culture cohort; Typhi isolates; AMR focus,no,no
22303491,exclude,none,SNP genotyping isolates; genomics; no positivity,no,no
32725220,exclude,none,narrative review enteric fever diagnostics; no data,no,no
41528123,exclude,none,preliminary CRISPR assay; four isolates; no accuracy,no,no
1712981,exclude,none,complication case series; pancreatitis; no denominator,no,no
6199300,exclude,none,antibody antigen characterization; no diagnostic accuracy,no,no
35690501,include,L3,outbreak TCV effectiveness; suspected and confirmed counts,no,no
3548169,exclude,none,non-eligible language,no,yes
32725226,exclude,none,elimination feasibility perspective; no primary data,no,no
28544285,exclude,none,genomics narrative review; no diagnostic content,no,no
14105915,exclude,none,non-eligible language,no,yes
18276100,include,L2,lateral flow IgM test; sens spec vs culture,no,no
41748640,maybe,L2,aptasensor antigen test; reported sensitivity and specificity,no,no
2478615,include,L2,IFA vs Widal; detection in culture-proven typhoid,no,no
26649174,exclude,none,systematic review enteric fever profile; chase references,yes,no
