vacc_week,vacc_cov,cases_averted,pct_cases_averted,cost_per_daly_averted,cost_per_case_averted,cost_per_death_averted,case_averted_per_1000
1,0.65,"530.5 (290.8, 1142)","57.2 (54.5, 60.2)","30866 (14796, 180103)","1125 (279, 2995)","0 (0, 21665)","2.6 (0.7, 8.7)"
4,0.65,"404.7 (88.2, 1036.5)","46.2 (37.8, 56.3)","34250 (5836, 229440)","435 (190, 2971)","0 (0, 0)","1.1 (0.6, 7.4)"
8,0.65,"235.6 (29.8, 429.5)","25.7 (12.8, 48.9)","78175 (898, 307520)","1156 (197, 5505)","0 (0, 0)","0.7 (0.4, 2.7)"
16,0.65,"0 (0, 73.1)","0 (0, 8.1)","0 (0, 268350)","0 (0, 2645)","0 (0, 0)","0.4 (0.1, 0.9)"
1,0.8,"619.1 (339.4, 1332.7)","66.9 (63.7, 70.3)","32748 (15755, 189898)","1194 (296, 3160)","0 (0, 24011)","2.5 (0.7, 8.3)"
4,0.8,"472.6 (103, 1208.5)","53.9 (44, 65.8)","36384 (6291, 242381)","460 (202, 3134)","0 (0, 0)","1 (0.6, 7)"
8,0.8,"274.6 (34.8, 501.2)","30 (14.9, 57)","82756 (991, 324731)","1214 (209, 5808)","0 (0, 0)","0.6 (0.4, 2.6)"
16,0.8,"0 (0, 85.1)","0 (0, 9.4)","0 (0, 283751)","0 (0, 2797)","0 (0, 0)","0.4 (0.1, 0.8)"
1,0.9,"678.4 (371.9, 1459.9)","73.3 (69.8, 77)","33724 (16255, 195086)","1230 (305, 3244)","0 (0, 25235)","2.4 (0.7, 8.1)"
4,0.9,"518.1 (112.8, 1324.7)","59.1 (48.3, 72.1)","37493 (6527, 248852)","473 (209, 3217)","0 (0, 0)","1 (0.6, 6.8)"
8,0.9,"300.5 (38.1, 549.2)","32.8 (16.3, 62.5)","85150 (1040, 333718)","1244 (216, 5964)","0 (0, 0)","0.6 (0.3, 2.5)"
16,0.9,"0 (0, 93.2)","0 (0, 10.3)","0 (0, 291806)","0 (0, 2876)","0 (0, 0)","0.3 (0.1, 0.8)"
