"Date","no_vacc","sc2_70","sc2_50","sc2_30"
2015-01-01,0.2,0.2,0.2,0.2
2015-01-02,0.22179599019622,0.22179599019622,0.22179599019622,0.22179599019622
2015-01-03,0.245967364303714,0.245967364303714,0.245967364303714,0.245967364303714
2015-01-04,0.272773824665541,0.272773824665541,0.272773824665541,0.272773824665541
2015-01-05,0.302501046771436,0.302501046771436,0.302501046771436,0.302501046771436
2015-01-06,0.335467272337493,0.335467272337493,0.335467272337493,0.335467272337493
2015-01-07,0.372026746041873,0.372026746041873,0.372026746041873,0.372026746041873
2015-01-08,0.412571989603679,0.412571989603679,0.412571989603679,0.412571989603679
2015-01-09,0.457534921884845,0.457534921884845,0.457534921884845,0.457534921884845
2015-01-10,0.507396884013057,0.507396884013057,0.507396884013057,0.507396884013057
2015-01-11,0.562693670854261,0.562693670854261,0.562693670854261,0.562693670854261
2015-01-12,0.624018970344596,0.624018970344596,0.624018970344596,0.624018970344596
2015-01-13,0.692026057438817,0.692026057438817,0.692026057438817,0.692026057438817
2015-01-14,0.767442956337267,0.767442956337267,0.767442956337267,0.767442956337267
2015-01-15,0.85108005020405,0.85108005020405,0.85108005020405,0.85108005020405
2015-01-16,0.943835282631834,0.943835282631834,0.943835282631834,0.943835282631834
2015-01-17,1.04669671924925,1.04669671924925,1.04669671924925,1.04669671924925
2015-01-18,1.16076547865279,1.16076547865279,1.16076547865279,1.16076547865279
2015-01-19,1.28726724114093,1.28726724114093,1.28726724114093,1.28726724114093
2015-01-20,1.42756011467063,1.42756011467063,1.42756011467063,1.42756011467063
2015-01-21,1.58313850813978,1.58313850813978,1.58313850813978,1.58313850813978
2015-01-22,1.75566780973312,1.75566780973312,1.75566780973312,1.75566780973312
2015-01-23,1.94700179154606,1.94700179154606,1.94700179154606,1.94700179154606
2015-01-24,2.1591945038755,2.1591945038755,2.1591945038755,2.1591945038755
2015-01-25,2.39450613088861,2.39450613088861,2.39450613088861,2.39450613088861
2015-01-26,2.65545543050569,2.65545543050569,2.65545543050569,2.65545543050569
2015-01-27,2.94484605335331,2.94484605335331,2.94484605335331,2.94484605335331
2015-01-28,3.26578452595609,3.26578452595609,3.26578452595609,3.26578452595609
2015-01-29,3.62168910126188,3.62168910126188,3.62168910126188,3.62168910126188
2015-01-30,4.01636904795271,4.01636904795271,4.01636904795271,4.01636904795271
2015-01-31,4.45406444489362,4.45406444489362,4.45406444489362,4.45406444489362
